file,workspace,domain,layer,risk_level,duplication_risk,security_critical,performance_critical,review_status,owner,notes
apps/cli/src/runtime/runner-manager.test.ts,apps/cli,cli-runtime-test,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=65
apps/cli/src/runtime/runner-manager.ts,apps/cli,cli-runtime,runtime,high,medium,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=715
apps/cli/src/runtime/signal.ts,apps/cli,cli-runtime,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=28
apps/cli/src/state/id.test.ts,apps/cli,cli-state-test,persistence,low,low,no,no,reviewed,cli-maintainers,contract:data-access;loc=24
apps/cli/src/state/id.ts,apps/cli,cli-state,persistence,low,low,no,no,reviewed,cli-maintainers,contract:data-access;loc=43
apps/cli/src/state/store.test.ts,apps/cli,cli-state-test,persistence,low,low,no,no,reviewed,cli-maintainers,contract:data-access;loc=91
apps/cli/src/state/store.ts,apps/cli,cli-state,persistence,low,low,no,no,reviewed,cli-maintainers,contract:data-access;loc=117
apps/cli/src/state/types.ts,apps/cli,cli-state,persistence,low,low,no,no,reviewed,cli-maintainers,contract:data-access;loc=37
apps/macos-runner/runner/credential-store.ts,apps/macos-runner,macos-runner,runtime,high,low,no,yes,reviewed,macos-runner-maintainers,contract:runtime-lifecycle;loc=130
apps/macos-runner/runner/engine.ts,apps/macos-runner,macos-runner,runtime,high,medium,no,yes,reviewed,macos-runner-maintainers,contract:runtime-lifecycle;loc=957
apps/macos-runner/runner/index.ts,apps/macos-runner,macos-runner,runtime,high,low,no,yes,reviewed,macos-runner-maintainers,contract:runtime-lifecycle;loc=15
apps/macos-runner/runner/process.ts,apps/macos-runner,macos-runner,runtime,high,low,no,yes,reviewed,macos-runner-maintainers,contract:runtime-lifecycle;loc=28
apps/web/next.config.ts,apps/web,config,config,low,low,no,no,reviewed,platform-config-maintainers,contract:config-schema;loc=7
apps/web/prisma.config.ts,apps/web,config,config,low,low,no,no,reviewed,platform-config-maintainers,contract:config-schema;loc=17
apps/web/scripts/load-gate/gate-browser-runs.ts,apps/web,tooling,service,medium,low,no,yes,reviewed,platform-maintainers,contract:general;loc=259
apps/web/scripts/load-gate/seed-runner-claim.ts,apps/web,tooling,service,medium,low,no,yes,reviewed,platform-maintainers,contract:general;loc=160
apps/web/scripts/smoke/storage-s3.ts,apps/web,tooling,service,low,low,no,no,reviewed,platform-maintainers,contract:general;loc=43
apps/web/src/app/api/authgear-proxy/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=118
apps/web/src/app/api/debug/test-runs/[id]/diagnostics/route.ts,apps/web,api,transport,medium,high,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=352
apps/web/src/app/api/health/dependencies/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=45
apps/web/src/app/api/health/live/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=5
apps/web/src/app/api/health/ready/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=55
apps/web/src/app/api/mcp/route.test.ts,apps/web,mcp-api,MCP,high,low,no,yes,reviewed,web-api-maintainers,contract:mcp-tool-manifest;loc=142
apps/web/src/app/api/mcp/route.ts,apps/web,mcp-api,MCP,high,medium,yes,yes,reviewed,web-api-maintainers,contract:mcp-tool-manifest;loc=100
apps/web/src/app/api/projects/[id]/avd-profiles/[profileId]/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=17
apps/web/src/app/api/projects/[id]/configs/[configId]/download/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=65
apps/web/src/app/api/projects/[id]/configs/[configId]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=154
apps/web/src/app/api/projects/[id]/configs/groups/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=77
apps/web/src/app/api/projects/[id]/configs/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=136
apps/web/src/app/api/projects/[id]/configs/upload/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=99
apps/web/src/app/api/projects/[id]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=278
apps/web/src/app/api/projects/[id]/test-cases/batch-import/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=63
apps/web/src/app/api/projects/[id]/test-cases/export/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=207
apps/web/src/app/api/projects/[id]/test-cases/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=133
apps/web/src/app/api/projects/bootstrap/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=116
apps/web/src/app/api/projects/bootstrap/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=147
apps/web/src/app/api/projects/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=168
apps/web/src/app/api/runners/v1/credential/verify/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=63
apps/web/src/app/api/runners/v1/devices/sync/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=69
apps/web/src/app/api/runners/v1/heartbeat/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=81
apps/web/src/app/api/runners/v1/jobs/[id]/artifacts/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=78
apps/web/src/app/api/runners/v1/jobs/[id]/complete/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=76
apps/web/src/app/api/runners/v1/jobs/[id]/details/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=74
apps/web/src/app/api/runners/v1/jobs/[id]/events/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=76
apps/web/src/app/api/runners/v1/jobs/[id]/fail/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=77
apps/web/src/app/api/runners/v1/jobs/claim/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=176
apps/web/src/app/api/runners/v1/pairing/exchange/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=61
apps/web/src/app/api/runners/v1/register/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=85
apps/web/src/app/api/runners/v1/repair/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=75
apps/web/src/app/api/runners/v1/shutdown/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=58
apps/web/src/app/api/runners/v1/unpair/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=68
apps/web/src/app/api/stream-tokens/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=82
apps/web/src/app/api/teams/[id]/ai-key/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=135
apps/web/src/app/api/teams/[id]/devices/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=35
apps/web/src/app/api/teams/[id]/members/[memberId]/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=55
apps/web/src/app/api/teams/[id]/members/[memberId]/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=52
apps/web/src/app/api/teams/[id]/members/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=78
apps/web/src/app/api/teams/[id]/members/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=142
apps/web/src/app/api/teams/[id]/ownership/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=112
apps/web/src/app/api/teams/[id]/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=102
apps/web/src/app/api/teams/[id]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=199
apps/web/src/app/api/teams/[id]/runner-inventory/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=62
apps/web/src/app/api/teams/[id]/runner-pairing/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=68
apps/web/src/app/api/teams/[id]/runners/[runnerId]/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=49
apps/web/src/app/api/teams/[id]/runners/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=40
apps/web/src/app/api/teams/[id]/usage/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=131
apps/web/src/app/api/teams/[id]/usage/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=187
apps/web/src/app/api/teams/bootstrap/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=158
apps/web/src/app/api/teams/current/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=127
apps/web/src/app/api/teams/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=95
apps/web/src/app/api/telemetry/web-vitals/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=91
apps/web/src/app/api/test-cases/[id]/clone/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=140
apps/web/src/app/api/test-cases/[id]/configs/[configId]/download/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=56
apps/web/src/app/api/test-cases/[id]/configs/[configId]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=141
apps/web/src/app/api/test-cases/[id]/configs/groups/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=77
apps/web/src/app/api/test-cases/[id]/configs/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=136
apps/web/src/app/api/test-cases/[id]/configs/upload/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=99
apps/web/src/app/api/test-cases/[id]/export/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=211
apps/web/src/app/api/test-cases/[id]/files/[fileId]/route.test.ts,apps/web,api,transport,low,low,no,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=76
apps/web/src/app/api/test-cases/[id]/files/[fileId]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=156
apps/web/src/app/api/test-cases/[id]/files/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=145
apps/web/src/app/api/test-cases/[id]/history/route.ts,apps/web,api,transport,medium,medium,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=108
apps/web/src/app/api/test-cases/[id]/route.ts,apps/web,api,transport,medium,high,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=219
apps/web/src/app/api/test-runs/[id]/cancel/route.test.ts,apps/web,api,transport,medium,low,no,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=181
apps/web/src/app/api/test-runs/[id]/cancel/route.ts,apps/web,api,transport,medium,medium,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=103
apps/web/src/app/api/test-runs/[id]/events/route.ts,apps/web,api,transport,medium,high,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=397
apps/web/src/app/api/test-runs/[id]/route.ts,apps/web,api,transport,medium,high,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=248
apps/web/src/app/api/test-runs/dispatch/route.test.ts,apps/web,api,transport,medium,low,no,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=550
apps/web/src/app/api/test-runs/dispatch/route.ts,apps/web,api,transport,medium,high,yes,yes,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=376
apps/web/src/app/api/user/api-keys/[id]/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=36
apps/web/src/app/api/user/api-keys/route.ts,apps/web,api,transport,medium,medium,yes,no,reviewed,web-api-maintainers,contract:transport-service-boundary;loc=67
apps/web/src/app/auth-provider.tsx,apps/web,frontend,UI,medium,low,yes,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=201
apps/web/src/app/auth-redirect/page.tsx,apps/web,frontend,UI,medium,low,yes,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=90
apps/web/src/app/authgear-proxy-fetch.ts,apps/web,frontend,UI,medium,low,yes,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=52
apps/web/src/app/debug/playwright-editor/page.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=10
apps/web/src/app/layout.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=50
apps/web/src/app/mcp/page.tsx,apps/web,frontend,UI,high,low,no,yes,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=481
apps/web/src/app/page.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=29
apps/web/src/app/projects/[id]/export-utils.test.ts,apps/web,frontend-test,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=33
apps/web/src/app/projects/[id]/export-utils.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=29
apps/web/src/app/projects/[id]/page.tsx,apps/web,frontend,UI,high,high,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=1052
apps/web/src/app/projects/page.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=418
apps/web/src/app/run/page.tsx,apps/web,frontend,UI,high,high,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=1145
apps/web/src/app/run/utils.test.ts,apps/web,frontend-test,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=139
apps/web/src/app/run/utils.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=153
apps/web/src/app/teams/page.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=493
apps/web/src/app/test-cases/[id]/history/[runId]/page.tsx,apps/web,frontend,UI,medium,low,no,yes,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=308
apps/web/src/app/test-cases/[id]/history/[runId]/snapshot-utils.test.ts,apps/web,frontend-test,UI,medium,low,no,yes,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=32
apps/web/src/app/test-cases/[id]/history/[runId]/snapshot-utils.ts,apps/web,frontend,UI,medium,low,no,yes,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=35
apps/web/src/app/test-cases/[id]/history/page.tsx,apps/web,frontend,UI,medium,low,no,yes,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=387
apps/web/src/app/welcome/page.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=97
apps/web/src/components/features/project-configurations/hooks/useProjectConfigs.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=320
apps/web/src/components/features/project-configurations/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=5
apps/web/src/components/features/project-configurations/model/types.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=16
apps/web/src/components/features/project-configurations/ui/ConfigInlineEditor.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=53
apps/web/src/components/features/project-configurations/ui/ProjectConfigs.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=229
apps/web/src/components/features/projects/ui/ProjectSettingsPanel.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=106
apps/web/src/components/features/run-results/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=3
apps/web/src/components/features/run-results/ui/ResultStatus.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=168
apps/web/src/components/features/run-results/ui/ResultViewer.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=343
apps/web/src/components/features/run-results/ui/TimelineEvent.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=112
apps/web/src/components/features/team-ai/ui/TeamAiSettings.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=189
apps/web/src/components/features/team-members/ui/TeamMembers.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=259
apps/web/src/components/features/team-runners/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=1
apps/web/src/components/features/team-runners/model/types.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=52
apps/web/src/components/features/team-runners/ui/RunnerInventoryTables.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=146
apps/web/src/components/features/team-runners/ui/RunnerTroubleshootingSection.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=94
apps/web/src/components/features/team-runners/ui/TeamRunners.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=535
apps/web/src/components/features/team-usage/ui/TeamUsage.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=318
apps/web/src/components/features/test-builder/hooks/useTestFormState.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=101
apps/web/src/components/features/test-builder/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=5
apps/web/src/components/features/test-builder/model/state-utils.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=89
apps/web/src/components/features/test-builder/model/types.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=10
apps/web/src/components/features/test-builder/ui/BuilderForm.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=220
apps/web/src/components/features/test-builder/ui/InsertVariableDropdown.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=235
apps/web/src/components/features/test-builder/ui/PlaywrightCodeEditor.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=233
apps/web/src/components/features/test-builder/ui/PlaywrightEditorRepro.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=67
apps/web/src/components/features/test-builder/ui/SortableStepItem.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=350
apps/web/src/components/features/test-builder/ui/TestForm.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=431
apps/web/src/components/features/test-cases/ui/ProjectTestCasesToolbar.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=165
apps/web/src/components/features/test-cases/ui/TestCaseImportReviewDialog.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=109
apps/web/src/components/features/test-configurations/ConfigurationsSection.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=463
apps/web/src/components/features/test-configurations/hooks/useAndroidDeviceOptions.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=197
apps/web/src/components/features/test-configurations/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=20
apps/web/src/components/features/test-configurations/model/config-helpers.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=28
apps/web/src/components/features/test-configurations/model/config-types.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=16
apps/web/src/components/features/test-configurations/model/config-utils.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=77
apps/web/src/components/features/test-configurations/model/device-utils.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=32
apps/web/src/components/features/test-configurations/model/types.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=6
apps/web/src/components/features/test-configurations/ui/ConfigHints.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=38
apps/web/src/components/features/test-configurations/ui/ConfigInlineEditorForm.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=279
apps/web/src/components/features/test-configurations/ui/ConfigurationVariablesPanel.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=101
apps/web/src/components/features/test-configurations/ui/GroupSelectInput.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=239
apps/web/src/components/features/test-configurations/ui/MaskedIcon.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=23
apps/web/src/components/features/test-configurations/ui/ProjectVariablesSummary.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=86
apps/web/src/components/features/test-configurations/ui/TargetConfigurationsPanel.tsx,apps/web,frontend,UI,medium,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=461
apps/web/src/components/features/test-configurations/ui/TestCaseConfigInlineEditor.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=53
apps/web/src/components/features/test-configurations/ui/TestCaseVariablesSection.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=364
apps/web/src/components/features/test-files/index.ts,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=2
apps/web/src/components/features/test-files/ui/FileList.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=262
apps/web/src/components/features/test-files/ui/FileUploadZone.tsx,apps/web,frontend,UI,low,low,no,no,reviewed,web-frontend-maintainers,contract:ui-view-model;loc=215
